"","research_id","respondent_id","response_id","object","original_response","cleaned_response","originality_rater01","originality_rater02"
"88","CES201712",1158,17199,"brick","als bord gebruiken","bord",4,3
"89","CES201712",1161,17158,"brick","bord","bord",4,3
"90","CES201712",1134,17032,"brick","bouwen","bouwen",1,1
"91","CES201712",1135,17162,"brick","bouwen","bouwen",1,1
"92","CES201712",1137,16923,"brick","bouwen","bouwen",1,1
"93","CES201712",1142,17001,"brick","bouwen","bouwen",1,1
"94","CES201712",1145,16959,"brick","bouwen","bouwen",1,1
"95","CES201712",1149,17054,"brick","bouwen","bouwen",1,1
"96","CES201712",1155,17070,"brick","bouwen","bouwen",1,1
"97","CES201712",1163,17205,"brick","Bouwen","bouwen",1,1
"98","CES201712",1174,17288,"brick","bouwen","bouwen",1,1
"99","CES201712",1177,17243,"brick","bouwen","bouwen",1,1
"100","CES201712",1179,17273,"brick","bouwen","bouwen",1,1
"101","CES201712",1180,17324,"brick","bouwen","bouwen",1,1
"102","CES201712",1181,17309,"brick","bouwen","bouwen",1,1
"103","CES201712",1189,17296,"brick","bouwen","bouwen",1,1
"104","CES201712",1191,17398,"brick","Bouwen","bouwen",1,1
"105","CES201712",1192,17363,"brick","bouwen","bouwen",1,1
"106","CES201712",1193,17350.1,"brick","je kan er van alles mee bouwen","bouwen",1,1
"107","CES201712",1195,17441,"brick","bouwen","bouwen",1,1
"108","CES201712",1200,17417,"brick","bouwen","bouwen",1,1
"109","CES201712",1201,17463,"brick","bouwen","bouwen",1,1
"110","CES201712",1204,17391,"brick","bouwen","bouwen",1,1
"111","CES201712",1206,17567,"brick","bouwen","bouwen",1,1
"112","CES201712",1228,17657,"brick","bouwen","bouwen",1,1
"113","CES201712",1232,17830,"brick","bouwen","bouwen",1,1
"114","CES201712",1233,18418,"brick","bouwen","bouwen",1,1
"115","CES201712",1234,18422,"brick","Bouwen","bouwen",1,1
"116","CES201712",1143,16940,"brick","Bouwmateriaal","bouwmateriaal",1,1
"117","CES201712",1147,17027,"brick","bouwmateriaal","bouwmateriaal",1,1
"118","CES201712",1199,17422,"brick","Bouwsteen","bouwsteen",1,1
"119","CES201712",1148,17094,"brick","bouwvakker","bouwvakker",0,0
"120","CES201712",1177,17250,"brick","bouwvakkers","bouwvakkers",0,0
"121","CES201712",1196,17353,"brick","bouwvakkers","bouwvakkers",0,0
"122","CES201712",1146,16997,"brick","bowlen","bowlen",5,4
"123","CES201712",1180,17332,"brick","breken","breken",2,2
"124","CES201712",1183,17306,"brick","breken","breken",2,2
"125","CES201712",1192,17367,"brick","breken","breken",2,2
"126","CES201712",1195,17444,"brick","iets breken","breken",2,2
"127","CES201712",1216,17530,"brick","breken","breken",2,2
"128","CES201712",1225,17615,"brick","broodjes","broodjes",4,4
"129","CES201712",1202,17377,"brick","brug","brug",1,1
"130","CES201712",1219,17591,"brick","brug","brug",1,1
"131","CES201712",1211,17525.4,"brick"," buitenoven van maken","buitenoven",3,2
"132","CES201712",1203,17414,"brick","cadeau","cadeau",3,3
"133","CES201712",1221,17597,"brick","cadeau doen","cadeau",3,3
"134","CES201712",1238,18459,"brick","cadeau doen","cadeau",3,3
"135","CES201712",1177,17242,"brick","cement","cement",1,1
"136","CES201712",1196,17354,"brick","sement","cement",1,1
"137","CES201712",1213,17556,"brick","cement ","cement",1,1
"138","CES201712",1217,17452,"brick","cement","cement",1,1
"139","CES201712",1225,17632,"brick","cement","cement",1,1
"140","CES201712",1148,17113,"brick","contra gewicht","contra gewicht",2,2
"141","CES201712",1138,16976,"brick","Contragewicht","contragewicht",2,2
"142","CES201712",1145,16987,"brick","gebruiken als contragewicht","contragewicht",2,2
"143","CES201712",1147,17029,"brick","contragewicht","contragewicht",2,2
"144","CES201712",1217,17458,"brick","3D","d",0,0
"145","CES201712",1141,16970,"brick","dak","dak",2,2
"146","CES201712",1177,17240,"brick","dak","dak",2,2
"147","CES201712",1143,16953,"brick","Dam","dam",1,1
"148","CES201712",1161,17159,"brick","dam","dam",1,1
"149","CES201712",1219,17583,"brick","dam","dam",1,1
"150","CES201712",1179,17280,"brick","dam bouwen","dam bouwen",1,1
"151","CES201712",1212,17537,"brick","dam bouwen","dam bouwen",1,1
"152","CES201712",1136,16920,"brick","decoratie","decoratie",3,3
"153","CES201712",1173,17184,"brick","decoratie","decoratie",3,3
"154","CES201712",1195,17447,"brick","Als decoratie","decoratie",3,3
"155","CES201712",1212,17536,"brick","decoratie","decoratie",3,3
"156","CES201712",1225,17626,"brick","decoratie","decoratie",3,3
"157","CES201712",1233,18421,"brick","decoratie","decoratie",3,3
"158","CES201712",1132,16909,"brick","als decoratie beschilderen","decoratie beschilderen",4,3
"159","CES201712",1137,16927,"brick","Decoreren","decoreren",3,3
"160","CES201712",1191,17403,"brick","decoreren","decoreren",3,3
"161","CES201712",1239,18465,"brick","deksel","deksel",4,4
"162","CES201712",1146,16996,"brick","deur mee open breken","deur open breken",2,2
"163","CES201712",1130,16890,"brick","een deur openhouden","deur openhouden",2,2
"164","CES201712",1199,17428,"brick","Deuropenhouder","deur openhouden",2,2
"165","CES201712",1145,16982,"brick","deur openmaken","deur openmaken",3,2
"166","CES201712",1203,17410,"brick","deur stop","deur stop",2,2
"167","CES201712",1136,16918,"brick","deur stopper","deur stopper",2,2
"168","CES201712",1148,17108,"brick","als deur tegenhouder","deur tegenhouder",2,2
"169","CES201712",1179,17274,"brick","deurpost","deurpost",2,2
"170","CES201712",1138,16964,"brick","Deurstop","deurstopper",2,2
"171","CES201712",1141,16963,"brick","deurstop","deurstopper",2,2
"172","CES201712",1147,17026,"brick","deurstopper","deurstopper",2,2
"173","CES201712",1155,17074,"brick","deurstop","deurstopper",2,2
"174","CES201712",1169,17225,"brick","deurstop","deurstopper",2,2
"175","CES201712",1184,17338,"brick","Deurstop","deurstopper",2,2
"176","CES201712",1208,17481,"brick","deurstopper","deurstopper",2,2
"177","CES201712",1213,17552,"brick","deurstop","deurstopper",2,2
"178","CES201712",1235,18427,"brick","deurstopper","deurstopper",2,2
"179","CES201712",1241,18481,"brick","deurstop","deurstopper",2,2
"180","CES201712",1143,16942,"brick","dienblad","dienblad",5,3
"181","CES201712",1220,17653,"brick","om dingen mee glad te strijken","dingen glad strijken",3,4
"182","CES201712",1174,17293,"brick","dingen mee kapot slaan","dingen kapot slaan",2,2
"183","CES201712",1208,17490,"brick","op dingen leggen zodat ze niet wegwaaien","dingen leggen zodat niet wegwaaien",2,2
"184","CES201712",1220,17651,"brick","om dingen mee plat te drukken","dingen plat drukken",3,2
"185","CES201712",1181,17317,"brick","dingen uitbeelden","dingen uitbeelden",3,3
"186","CES201712",1128,16878,"brick","domino baan maken","domino baan",5,3
"187","CES201712",1147,17028,"brick","dominosteen","dominosteen",5,3
"188","CES201712",1238,18456,"brick","doormidden slaan","doormidden slaan",3,2
"189","CES201712",1144,17220,"brick","Om dozen dicht te houden","dozen dicht houden",3,3
"190","CES201712",1139,16936,"brick","drempel","drempel",3,1
"191","CES201712",1145,16990,"brick","dronken avonturen mee beleven","dronken avonturen beleven",5,4
"192","CES201712",1160,17132.3,"brick"," druk uitoefenen","druk uitoefenen",2,2
"193","CES201712",1240,18466,"brick","ik heb dit al eerder gezien","eerder gezien",0,0
"194","CES201712",1148,17097,"brick","egel","egel",4,4
"195","CES201712",1198,17438,"brick","ei op bakken","ei bakken",3,3
"196","CES201712",1226,17667,"brick","op elkaar stapelen","elkaar stapelen",1,1
"197","CES201712",1187,17321,"brick","elke baksteen een andere kleur en daar een 'schilderij van maken'","elke baksteen kleur schilderij",4,3
"198","CES201712",1228,17661,"brick","erop balanceren","erop balanceren",3,2
"199","CES201712",1135,17168,"brick","erop gaan staan","erop gaan staan",2,2
"200","CES201712",1129,16884,"brick","erop gaan zitten","erop gaan zitten",2,2
"201","CES201712",1153,17019,"brick","erop een handstand maken","erop handstand",4,2
"202","CES201712",1153,17017,"brick","erop staan","erop staan",2,2
"203","CES201712",1153,17015,"brick","erop zitten","erop zitten",2,2
"204","CES201712",1228,17659,"brick","erop zitten","erop zitten",2,2
"205","CES201712",1225,17634,"brick","erosie","erosie",0,0
"206","CES201712",1225,17613,"brick","eten","eten",3,3
"207","CES201712",1153,17007,"brick","figuurtje van zagen","figuurtje zagen",3,3
"208","CES201712",1194,17361,"brick","flat","flat",1,1
"209","CES201712",1179,17279,"brick","frame","frame",3,3
"210","CES201712",1146,16999,"brick","frisbee","frisbee",4,4
